Synchronized Data记录了每一帧图片中人物的骨骼点位置信息，使用yolo-pose模型进行检测，在该表中各个列定义分别为：
字段名称	字段含义
image_name	帧图像文件名称
nose_x、nose_y、nose_conf	鼻子关键点的横坐标、纵坐标、检测置信度
left_eye_x、left_eye_y、left_eye_conf	左眼关键点的横坐标、纵坐标、检测置信度
right_eye_x、right_eye_y、right_eye_conf	右眼关键点的横坐标、纵坐标、检测置信度
left_ear_x、left_ear_y、left_ear_conf	左耳关键点的横坐标、纵坐标、检测置信度
right_ear_x、right_ear_y、right_ear_conf	右耳关键点的横坐标、纵坐标、检测置信度
left_shoulder_x、left_shoulder_y、left_shoulder_conf	左肩膀关键点的横坐标、纵坐标、检测置信度
right_shoulder_x、right_shoulder_y、right_shoulder_conf	右肩膀关键点的横坐标、纵坐标、检测置信度
left_elbow_x、left_elbow_y、left_elbow_conf	左肘关键点的横坐标、纵坐标、检测置信度
right_elbow_x、right_elbow_y、right_elbow_conf	右肘关键点的横坐标、纵坐标、检测置信度
left_wrist_x、left_wrist_y、left_wrist_conf	左手腕关键点的横坐标、纵坐标、检测置信度
right_wrist_x、right_wrist_y、right_wrist_conf	右手腕关键点的横坐标、纵坐标、检测置信度
left_hip_x、left_hip_y、left_hip_conf	左髋关键点的横坐标、纵坐标、检测置信度
right_hip_x、right_hip_y、right_hip_conf	右髋关键点的横坐标、纵坐标、检测置信度
left_knee_x、left_knee_y、left_knee_conf	左膝关键点的横坐标、纵坐标、检测置信度
right_knee_x、right_knee_y、right_knee_conf	右膝关键点的横坐标、纵坐标、检测置信度
left_ankle_x、left_ankle_y、left_ankle_conf	左踝关键点的横坐标、纵坐标、检测置信度
right_ankle_x、right_ankle_y、right_ankle_conf	右踝关键点的横坐标、纵坐标、检测置信度

具体检测代码为：













